Blender 4.5.13 LTS (hash daeeeca98fb0 built 2026-08-25 01:31:19)
Read blend: "/home/runner/work/future/future/workspaces/glasshouse-terminus/output/g1/g1-risk-study.blend"
Fra:1 Mem:61.53M (Peak 61.53M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.061
Fra:1 Mem:61.53M (Peak 61.53M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.062
Fra:1 Mem:61.58M (Peak 61.58M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.061
Fra:1 Mem:61.59M (Peak 61.59M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.063
Fra:1 Mem:61.60M (Peak 61.60M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.060
Fra:1 Mem:61.59M (Peak 61.60M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.064
Fra:1 Mem:61.65M (Peak 61.65M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.059
Fra:1 Mem:61.67M (Peak 61.67M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.058
Fra:1 Mem:61.68M (Peak 61.68M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.057
Fra:1 Mem:61.69M (Peak 61.69M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.065
