Blender 4.5.13 LTS (hash daeeeca98fb0 built 2026-08-25 01:31:19)
Fra:1 Mem:44.52M (Peak 44.52M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.054
Fra:1 Mem:44.54M (Peak 44.54M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.055
Fra:1 Mem:44.57M (Peak 44.57M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.061
Fra:1 Mem:44.58M (Peak 44.58M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.060
Fra:1 Mem:44.59M (Peak 44.59M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.059
Fra:1 Mem:44.60M (Peak 44.60M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.056
Fra:1 Mem:44.65M (Peak 44.65M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.058
Fra:1 Mem:44.63M (Peak 44.65M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.057
Fra:1 Mem:44.64M (Peak 44.65M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.057
Fra:1 Mem:44.69M (Peak 44.69M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.056
Fra:1 Mem:44.69M (Peak 44.69M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.055
Fra:1 Mem:44.69M (Peak 44.69M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.058
Fra:1 Mem:44.73M (Peak 44.73M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.054
Fra:1 Mem:44.74M (Peak 44.74M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.053
Fra:1 Mem:44.74M (Peak 44.74M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.059
Fra:1 Mem:44.78M (Peak 44.78M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.052
Fra:1 Mem:44.79M (Peak 44.79M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.051
Fra:1 Mem:44.80M (Peak 44.80M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.060
Fra:1 Mem:44.80M (Peak 44.80M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Exterior_adhered_droplet.050
